#4Help Main Categories,Sub-Category,Sub Sub-category,Name of Service,Hot Line or Help Line Phone Number or Fax Number,Street Address,City or Town,State,ZipCode,Keyword Using Categories,Business Phone Number,Website,Services Provided,Brief Description,Contact Person,Contact Person Email
California,"Comprehensive Disability Related Employment Programs, , ","Comprehensive Disability Related Employment Programs, , ",  Bakersfield Association for Retarded Citizens on the Move,661-834-2272,2240 South Union AvenueBakersfield,Bakersfield,CA,93307,"Comprehensive Disability Related Employment Programs, , ",661-834-2272,http://www.barc-inc.org,Disabled adults ,"Description	Provides job-training and work opportunities.",N/A,dkyle@barc-inc.org
California,", ",", ", Community Services Department,661-721-3350,1015 11th AveDelano,AveDelano,CA,93215,", ",661-721-3350,http://www.cityofdelano.org,Open to Delano residents.  ,"DescriptionProvides information on community services forms, facility rentals, parks and reservations, recreation department, tech center, golf course, graffiti removal, and a senior nutrition program for residents of Delano.",Phil Newhouse                                     Community Services Director                       ,phewhouse@delano-ca.org
California,"City/County Planning Offices, , ","City/County Planning Offices, , ", Community Services Department,661-721-3335,1015 11th AveDelano,AveDelano,CA,93215,"City/County Planning Offices, , ",661-721-3335,http://www.cityofdelano.org,Open to all Delano residents.  ,"Description 	Provides information on community services forms, facility rentals, parks and reservations, recreation department, tech center, golf course, graffiti removal and a senior nutrition program for residents of Delano.  	 ",Phil Newhouse                                     Community Services Director                       ,phewhouse@delano-ca.org
California,"Speech and Language Pathology, , ","Speech and Language Pathology, , ", Community Therapies,661-945-7878,861 Auto Center Drive ,N/A,CA,93551,"Speech and Language Pathology, , ",661-945-7878,http://www.communitytherapies.com,Open to individuals with disabilities.  ,"Description Provides therapy services such as: speech and language, early intervention for children birth to three with developmental delays, autism spectrum disorders, occupational therapy, sensory integration, nutrition, behavior, social skills/friendship groups, family support groups, infant massage, specialized programs for language and reading, and relationship building for parent/child for individuals with various disabilities  	 ",Roy Jensen                    Director               ,N/A
California,", ",", ", Community Therapies,N/A,540 West Lancaster Boulevard ,N/A,CA,93534,", ",N/A,http://www.communitytherapies.com,Open to individuals with disabilities.  ,"DescriptionProvides therapy services such as: speech and language, early intervention for children birth to three with developmental delays, autism spectrum disorders, occupational therapy, sensory integration, nutrition, behavior, social skills/friendship groups, family support groups, infant massage, specialized programs for language and reading, and relationship building for parent/child for individuals with various disabilities.","Dr. Elaine Fogel Schnieder                        Ph.D, Founder & Executive Director                ",kbchristy@qnet.com
California,"Local Automobile Transportation, , ","Local Automobile Transportation, , ", CommuteKern,661-832-7433,1401 19th Street,N/A,CA,93301,"Local Automobile Transportation, , ",661-832-7433,http://www.CommuteKern.org,Open to all  ,"Description 	Provides a carpool, vanpool, transit program.  	 ",Linda Urata                                       Regional Planner III                              ,commuter@kerncog.org
California,"Volunteer Opportunities, Alzheimer's Disease, , ","Volunteer Opportunities, Alzheimer's Disease, , ", Confident Caregiver,661-912-3053,1401 Commercial Way,Way,CA,93309,"Volunteer Opportunities, Alzheimer's Disease, , ",661-912-3053,http://www.alz.org/socal,Open to the public .  ,DescriptionProvides educational classes on Alzheimer's and other types of Dementia.,N/A,jardray@alz.org
California,"Food Pantries, , ","Food Pantries, , ", Cornucopia Services,N/A,600 Fairfax RoadBakersfield,Bakersfield,CA,93306,"Food Pantries, , ",N/A,http://www.capk.org,Open to the public ,DescriptionProvides a food distribution site for emergency food once a month.,N/A,info@capk.org
California,"Food Pantries, , ","Food Pantries, , ", Coronado Baptist Church ,N/A,516 Norris Road Bakersfield,Bakersfield,CA,93308,"Food Pantries, , ",N/A,http://www.capk.org/,Open to the public  ,DescriptionOffers food assistance once a month.,N/A,info@capk.org
California,"Coroner Services, , ","Coroner Services, , ", Coroner And Public Administrator ,661-868-0100,1350 Norris RoadBakersfield,Bakersfield,CA,93308,"Coroner Services, , ",661-868-0100,http://www.kernsheriff.org/,Open to all. ,"Description 	Provides death investigations, body retrieval services, and autopsy services at the request of law enforcement agencies. 	 ",Donnie Youngblood                                    Sheriff Coroner                                  ,N/A
California,"General Counseling Services, Drug Use Disorder Counseling, Families/Friends of Individuals With a Drug Use Disorder, , ","General Counseling Services, Drug Use Disorder Counseling, Families/Friends of Individuals With a Drug Use Disorder, , ", Counseling Services,N/A,225 Chester Avenue,N/A,CA,93301,"General Counseling Services, Drug Use Disorder Counseling, Families/Friends of Individuals With a Drug Use Disorder, , ",N/A,http://www.befinallyfree.org,Open to all. ,"DescriptionProvides individual and family counseling to those affected by substance abuse. Also provides life skills education including; domestic violence, anger management, parenting skills, stress management and conflict resolution.",N/A,info@befinallyfree.org
California,"Building Code Enforcement/Appeals, , ","Building Code Enforcement/Appeals, , ", County Code Enforcement,661-862-8603,2700 M Street,N/A,CA,93301,"Building Code Enforcement/Appeals, , ",661-862-8603,https://www.kerncounty.com/code/PDFs/CodeComplianceflyer.pdf,County resident. ,"Description	Provides a complaint division to report housing violations, weed control, and property maintenance for home owners within the county limits.   	 ",N/A,esps@co.kern.ca.us
California,", ",", ", County Correctional Facilities,661-792-3492,Multiple Locations,N/A,CA,N/A,", ",661-792-3492,http://www.cdcr.ca.gov/Facilities_Locator/Community_Correctional_Facilities.html,Open to all ,"Description 	Provides secure care, custody, and control for offenders sentenced by California Department of Corrections & Rehabilitation (CDCR).",Scott KernanSecretary,victimservices@cdcr.ca.gov
California,", ",", ", County of Kern California,661-862-8820,1115 Truxtun Avenue,N/A,CA,93301,", ",661-862-8820,http://www.co.kern.ca.us,Open to the public. ,"Description 	Program works to strategically manage countywide implementation of policies and service goals at the direction of the Board of Supervisors, the legislative body for the County of Kern. 	 ",John Nilon                                        County Administrative Officer                     ,caomailbox@co.kern.ca.us
California,"Court Ordered Parenting Programs, Parenting Skills Classes, Volunteer Opportunities, , ","Court Ordered Parenting Programs, Parenting Skills Classes, Volunteer Opportunities, , ", Courageous Parenting,N/A,225 Chester Avenue,N/A,CA,93301,"Court Ordered Parenting Programs, Parenting Skills Classes, Volunteer Opportunities, , ",N/A,http://www.befinallyfree.org,Open to all including court ordered ,DescriptionProvides court ordered parenting classes and parent education.,N/A,info@befinallyfree.org
California,", ",", ", Court Appointed Special Advocates of Kern County,N/A,1717 Columbus StreetBakersfield,Bakersfield,CA,93305,", ",N/A,http://www.kerncasa.org,Foster children. ,"Description 	Provides representation at the sole discretion of the juvenile court to foster children. CASA volunteers speak for these children in the courtroom setting. The Court Appointed Special Advocate's duty is to facilitate that course of action which will lead to a safe permanent home.  	 ",Colleen McGauley                                  Executive Director                                ,kerncasa@kerncasa.org
California,"Child Advocacy Centers, , ","Child Advocacy Centers, , ", Court Appointed Special Advocates of Kern County,661-631-2272,1717 Columbus StBakersfield,StBakersfield,CA,93305,"Child Advocacy Centers, , ",661-631-2272,http://www.kerncasa.org,"Active CPS case, child in foster care. All clients are court-appointed by the judges of the juvenile court for children. ","Description 	Provides representation at the sole discretion of the juvenile court to foster children. Also volunteers speak for these children in the courtroom setting. The court appointed special advocate's duty is to facilitate that course of action which will lead to a safe permanent home.   	 ",N/A,kerncasa@kerncasa.org
California,", ",", ", COVERED CALIFORNIA,N/A,No physical location,N/A,CA,N/A,", ",N/A,https://www.coveredca.com/,"Description	A federally mandated program called the Affordable Care Act is identified as Covered California locally. Covered California's mission is to improve health care in the state by increasing the number of Californians with health insurance, improving the quality of health care, reducing health care costs, and ensuring that California's diverse population has fair and equal access to quality health care.","Description	A federally mandated program called the Affordable Care Act is identified as Covered California locally. Covered California's mission is to improve health care in the state by increasing the number of Californians with health insurance, improving the quality of health care, reducing health care costs, and ensuring that California's diverse population has fair and equal access to quality health care.",,N/A
California,", ",", ", COVIA,N/A,2185 N. California Boulevard,N/A,CA,94596,", ",N/A,https://covia.org/services/well-connected/,"DescriptionNonprofit organization whose mission is to cultivate and build healthy communities with a continuum of residential and innovative aging services that actively promote intellectual, physical, social and spiritual well-being.","DescriptionNonprofit organization whose mission is to cultivate and build healthy communities with a continuum of residential and innovative aging services that actively promote intellectual, physical, social and spiritual well-being.",,info@covia.org
California,", ",", ", Creative Connections,(661) 323-4050,5251 Office Park Dr,Dr,CA,93309,", ",(661) 323-4050,http://www.mycreativeconnectionsinc.org,Developmentally disabled   ,"Description 	Provides specialized care for the developmentally delayed population. Services include initial and ongoing support and  training services to fit the need of the home. 	 ",Jermaine Watkins          Program Administrator                                            661-665-4626,jwatkins@mycrrativeconnectionsinc.org
